month,state,totals
2017-03-01,Louisiana,29310
2017-03-01,Maine,9632
2017-03-01,Mariana Islands,11
2017-03-01,Maryland,15769
2017-03-01,Massachusetts,21059
2017-03-01,Michigan,54452
2017-03-01,Minnesota,77749
2017-03-01,Mississippi,24421
2017-03-01,Missouri,52928
2017-03-01,Montana,12396
2017-03-01,Nebraska,7337
2017-03-01,Nevada,14158
2017-03-01,New Hampshire,13529
2017-03-01,New Jersey,10993
2017-03-01,New Mexico,14963
2017-03-01,New York,35608
2017-03-01,North Carolina,55574
2017-03-01,North Dakota,6461
2017-03-01,Ohio,81153
2017-03-01,Oklahoma,30518
2017-03-01,Oregon,32423
2017-03-01,Pennsylvania,110334
2017-03-01,Puerto Rico,1560
2017-03-01,Rhode Island,2553
2017-03-01,South Carolina,43113
2017-03-01,South Dakota,9770
2017-03-01,Tennessee,74655
2017-03-01,Texas,144270
2017-03-01,Utah,26941
2017-03-01,Vermont,4051
2017-03-01,Virgin Islands,96
2017-03-01,Virginia,49368
2017-03-01,Washington,58069
2017-03-01,West Virginia,22529
2017-03-01,Wisconsin,58739
2017-03-01,Wyoming,5315
2017-02-01,Alabama,46251
2017-02-01,Alaska,5917
2017-02-01,Arizona,37388
2017-02-01,Arkansas,22548
2017-02-01,California,129885
2017-02-01,Colorado,43577
2017-02-01,Connecticut,15209
2017-02-01,Delaware,5066
2017-02-01,District of Columbia,93
2017-02-01,Florida,117892
2017-02-01,Georgia,53177
2017-02-01,Guam,132
2017-02-01,Hawaii,1037
2017-02-01,Idaho,14936
2017-02-01,Illinois,139697
2017-02-01,Indiana,136193
2017-02-01,Iowa,15025
2017-02-01,Kansas,19211
2017-02-01,Kentucky,313748
2017-02-01,Louisiana,27684
2017-02-01,Maine,7731
2017-02-01,Mariana Islands,0
2017-02-01,Maryland,14852
2017-02-01,Massachusetts,18130
2017-02-01,Michigan,48382
2017-02-01,Minnesota,62051
2017-02-01,Mississippi,24043
2017-02-01,Missouri,50850
2017-02-01,Montana,10386
2017-02-01,Nebraska,7122
2017-02-01,Nevada,11765
2017-02-01,New Hampshire,12282
2017-02-01,New Jersey,9601
2017-02-01,New Mexico,15364
2017-02-01,New York,31910
2017-02-01,North Carolina,51627
2017-02-01,North Dakota,6193
2017-02-01,Ohio,74257
2017-02-01,Oklahoma,30840
2017-02-01,Oregon,29183
2017-02-01,Pennsylvania,95585
2017-02-01,Puerto Rico,1259
2017-02-01,Rhode Island,2354
2017-02-01,South Carolina,41969
2017-02-01,South Dakota,9754
2017-02-01,Tennessee,69264
2017-02-01,Texas,137470
2017-02-01,Utah,24889
2017-02-01,Vermont,3594
2017-02-01,Virgin Islands,106
2017-02-01,Virginia,47038
2017-02-01,Washington,52154
2017-02-01,West Virginia,22449
2017-02-01,Wisconsin,50720
2017-02-01,Wyoming,4554
2017-01-01,Alabama,41542
2017-01-01,Alaska,4500
2017-01-01,Arizona,31366
2017-01-01,Arkansas,16762
2017-01-01,California,130365
2017-01-01,Colorado,37047
2017-01-01,Connecticut,15073
2017-01-01,Delaware,4299
2017-01-01,District of Columbia,81
2017-01-01,Florida,104576
2017-01-01,Georgia,44615
2017-01-01,Guam,205
2017-01-01,Hawaii,866
2017-01-01,Idaho,11146
2017-01-01,Illinois,138008
2017-01-01,Indiana,80412
2017-01-01,Iowa,15707
2017-01-01,Kansas,15049
2017-01-01,Kentucky,345924
2017-01-01,Louisiana,27709
2017-01-01,Maine,6865
2017-01-01,Mariana Islands,2
2017-01-01,Maryland,13368
2017-01-01,Massachusetts,19996
2017-01-01,Michigan,39067
2017-01-01,Minnesota,85322
2017-01-01,Mississippi,17113
2017-01-01,Missouri,39098
2017-01-01,Montana,7994
2017-01-01,Nebraska,6205
2017-01-01,Nevada,10013
2017-01-01,New Hampshire,12067
2017-01-01,New Jersey,9274
2017-01-01,New Mexico,10966
2017-01-01,New York,31567
2017-01-01,North Carolina,46548
2017-01-01,North Dakota,4933
2017-01-01,Ohio,58574
2017-01-01,Oklahoma,24547
2017-01-01,Oregon,22210
2017-01-01,Pennsylvania,85948
2017-01-01,Puerto Rico,1332
2017-01-01,Rhode Island,2147
2017-01-01,South Carolina,31829
2017-01-01,South Dakota,7614
2017-01-01,Tennessee,83613
2017-01-01,Texas,117903
2017-01-01,Utah,18314
2017-01-01,Vermont,2691
2017-01-01,Virgin Islands,88
2017-01-01,Virginia,37369
2017-01-01,Washington,46027
2017-01-01,West Virginia,15772
2017-01-01,Wisconsin,46775
2017-01-01,Wyoming,3705
2016-12-01,Alabama,62014
2016-12-01,Alaska,8786
2016-12-01,Arizona,44887
2016-12-01,Arkansas,29926
2016-12-01,California,298161
2016-12-01,Colorado,55428
2016-12-01,Connecticut,17825
2016-12-01,Delaware,6356
2016-12-01,District of Columbia,71
2016-12-01,Florida,144983
2016-12-01,Georgia,68269
2016-12-01,Guam,172
2016-12-01,Hawaii,1141
2016-12-01,Idaho,17034
2016-12-01,Illinois,137994
2016-12-01,Indiana,95672
2016-12-01,Iowa,18090
2016-12-01,Kansas,22282
2016-12-01,Kentucky,397059
2016-12-01,Louisiana,51493
2016-12-01,Maine,10528
2016-12-01,Mariana Islands,0
2016-12-01,Maryland,17984
2016-12-01,Massachusetts,19842
2016-12-01,Michigan,47834
2016-12-01,Minnesota,60056
2016-12-01,Mississippi,36091
2016-12-01,Missouri,63289
2016-12-01,Montana,12610
2016-12-01,Nebraska,8790
2016-12-01,Nevada,14889
2016-12-01,New Hampshire,14305
2016-12-01,New Jersey,10577
2016-12-01,New Mexico,17518
2016-12-01,New York,40292
2016-12-01,North Carolina,65145
2016-12-01,North Dakota,6261
2016-12-01,Ohio,88178
2016-12-01,Oklahoma,43082
2016-12-01,Oregon,35754
2016-12-01,Pennsylvania,111913
2016-12-01,Puerto Rico,1664
2016-12-01,Rhode Island,2542
2016-12-01,South Carolina,43044
2016-12-01,South Dakota,10739
2016-12-01,Tennessee,74884
2016-12-01,Texas,181572
2016-12-01,Utah,29485
2016-12-01,Vermont,3977
2016-12-01,Virgin Islands,67
2016-12-01,Virginia,62649
2016-12-01,Washington,59181
2016-12-01,West Virginia,27242
2016-12-01,Wisconsin,56928
2016-12-01,Wyoming,6560
2016-11-01,Alabama,50477
2016-11-01,Alaska,8514
2016-11-01,Arizona,39722
2016-11-01,Arkansas,26901
2016-11-01,California,224039
2016-11-01,Colorado,54418
2016-11-01,Connecticut,17223
2016-11-01,Delaware,5791
2016-11-01,District of Columbia,56
2016-11-01,Florida,134638
2016-11-01,Georgia,58723
2016-11-01,Guam,176
2016-11-01,Hawaii,1347
2016-11-01,Idaho,13965
2016-11-01,Illinois,161604
2016-11-01,Indiana,92535
2016-11-01,Iowa,18540
2016-11-01,Kansas,22646
2016-11-01,Kentucky,330444
2016-11-01,Louisiana,39979
2016-11-01,Maine,10506
2016-11-01,Mariana Islands,4
2016-11-01,Maryland,17647
2016-11-01,Massachusetts,21581
